Spell Name,Spell Level,Range,Duration,Description
Aerial Servant,"Cleric, 7th Level",N/A,Until completed or insanity,"This spell summons a powerful creature from the elemental planes of air, to fetch and return one thing (or creature) to the caster. Only a creature with a Strength of 18 can fight its way from the servant’s grasp, and even then the chance is not likely to be greater than 50%. The servant can carry up to 500 pounds in weight. An aerial servant has the following attributes: HD 16, AC 3 [16], Atk Bonus +17, Atk 1 (4d4), Move 240 feet. If the servant is frustrated in its efforts to bring the desired object to the caster, it will become insane, returning and attacking him or her."
Animal Growth,"Druid, 5th Level; Magic-User, 5th Level",120 feet,2 hours,"This spell causes 1d6 normal creatures to grow immediately to giant size. While the spell lasts, the affected creatures can attack as per a giant version of themselves."
Animal Summoning I,"Druid, 4th Level",30 feet,1 hour,"The Druid summons forth normal animals to serve as allies: 1 creature larger than a man (such as an elephant), 3 animals the size of a man or horse (such as a lion), or 6 animals smaller than a man (such as a wolf). The animals obey the caster’s commands."
Animal Summoning II,"Druid, 5th Level",30 feet,2 hours,"The Druid summons forth normal animals to serve as allies: 2 creatures larger than a man (such as an elephant), 6 animals the size of a man or horse (such as a lion), or 12 animals smaller than a man (such as wolves). The animals obey the caster’s commands."
Animal Summoning III,"Druid, 6th Level",30 feet,4 hours,"The Druid summons forth normal animals to serve as allies: 4 creatures larger than a man (such as an elephant), 12 animals the size of a man or horse (such as a lion), or 24 animals smaller than a man (such as wolves). The animals obey the caster’s commands."
Animate Dead,"Magic-User, 5th Level",Referee’s Discretion,Permanent,This spell animates skeletons or zombies from dead bodies. 1d6 undead are animated per level of the caster above 8th. The corpses remain animated until slain.
Animate Object,"Cleric, 6th Level",60 feet,1 hour,"The Cleric “brings to life” inanimate objects such as statues, chairs, carpets, and tables. The objects follow the Cleric’s commands, attacking foes or performing other actions on the caster’s behalf. The Referee must determine the combat attributes of the objects (such as armor class, speed, hit dice, and to-hit bonuses) on the spur of the moment. A stone statue, as a basic example, might have AC of 1 [18], attack as a creature with 7–9 HD, and inflict 2d8 points of damage. Wooden furniture would be considerably less dangerous."
Animate Rock,"Druid, 7th Level",60 feet,1 hour,"The caster brings rock to life, perhaps by calling a spirit into it, or perhaps by some other means related to the druidic affinity for stone and the elements. The mass of rock, whether or not shaped into an object, moves and attacks of its own volition. The druid has roughly a 50% +2% per level chance to be able to bring the object under control; otherwise it will act somewhat randomly, having little or no independent intelligence. The quantity of rock that can be animated is a function of the druid’s power and is about 2-3 cubic feet per level. If the animated rock is a statue, it will move at a speed appropriate to whatever the statue depicts (a wolf statue, for example, moving faster than the statue of a man). A formless mass of rock will have a movement rate of 3. Anti-Animal Shell See Anti-Animal Ward"
Anti-Animal Ward,"Druid, 6th Level",Caster,2 hours,"The caster is surrounded by a magical barrier that prevents any sort of normal or giant animal (but not magical beasts such as a manticore or griffon) from reaching through or attacking. The spell has a radius of 10 feet. If anyone within the magical warding casts an attack spell or makes a physical attack, the barrier instantly evaporates."
Anti-Magic Shell,"Magic-User, 6th Level",Caster,2 hours,"An invisible bubble of force surrounds the caster, impenetrable to magic. Spells and other magical effects cannot pass into or out of the shell. The shell is ten feet in radius. Anti-Plant Shell See Anti-Plant Ward"
